title,genre
Twinkling Watermelon,Romance
Twinkling Watermelon,Youth
Twinkling Watermelon,Drama
Twinkling Watermelon,Fantasy
Move to Heaven,Life
Move to Heaven,Drama
Hospital Playlist Season 2,Romance
Hospital Playlist Season 2,Life
Hospital Playlist Season 2,Drama
Hospital Playlist Season 2,Medical
Weak Hero Class 1,Action
Weak Hero Class 1,Youth
Weak Hero Class 1,Drama
Alchemy of Souls,Action
Alchemy of Souls,Historical
Alchemy of Souls,Romance
Alchemy of Souls,Fantasy
Flower of Evil,Thriller
Flower of Evil,Romance
Flower of Evil,Crime
Flower of Evil,Melodrama
Reply 1988,Comedy
Reply 1988,Romance
Reply 1988,Life
Reply 1988,Youth
Moving,Action
Moving,Thriller
Moving,Mystery
Moving,Supernatural
Hospital Playlist,Comedy
Hospital Playlist,Life
Hospital Playlist,Drama
Hospital Playlist,Medical
My Mister,Psychological
My Mister,Life
My Mister,Drama
Under the Queen's Umbrella,Historical
Under the Queen's Umbrella,Comedy
Under the Queen's Umbrella,Drama
Under the Queen's Umbrella,Political
Crash Landing on You,Military
Crash Landing on You,Comedy
Crash Landing on You,Romance
Crash Landing on You,Political
The Glory Part 2,Thriller
The Glory Part 2,Drama
The Glory Part 2,Melodrama
Mr. Queen,Historical
Mr. Queen,Comedy
Mr. Queen,Romance
Mr. Queen,Fantasy
My Dearest,Historical
My Dearest,Romance
My Dearest,Drama
My Dearest,Melodrama
Prison Playbook,Comedy
Prison Playbook,Crime
Prison Playbook,Life
Prison Playbook,Drama
Mother,Thriller
Mother,Mystery
Mother,Psychological
Mother,Melodrama
My Dearest Part 2,Historical
My Dearest Part 2,Romance
My Dearest Part 2,Drama
My Dearest Part 2,Melodrama
Dr. Romantic Season 3,Romance
Dr. Romantic Season 3,Drama
Dr. Romantic Season 3,Medical
Alchemy of Souls Season 2: Light and Shadow,Action
Alchemy of Souls Season 2: Light and Shadow,Historical
Alchemy of Souls Season 2: Light and Shadow,Romance
Alchemy of Souls Season 2: Light and Shadow,Fantasy
Taxi Driver Season 2,Action
Taxi Driver Season 2,Thriller
Taxi Driver Season 2,Mystery
Taxi Driver Season 2,Crime
The Glory,Thriller
The Glory,Drama
The Glory,Melodrama
Navillera,Life
Navillera,Drama
The Good Bad Mother,Comedy
The Good Bad Mother,Life
The Good Bad Mother,Drama
The Good Bad Mother,Family
It's Okay to Not Be Okay,Psychological
It's Okay to Not Be Okay,Comedy
It's Okay to Not Be Okay,Romance
It's Okay to Not Be Okay,Drama
Signal,Thriller
Signal,Mystery
Signal,Sci-Fi
Extraordinary Attorney Woo,Law
Extraordinary Attorney Woo,Romance
Extraordinary Attorney Woo,Life
Extraordinary Attorney Woo,Drama
Vincenzo,Comedy
Vincenzo,Law
Vincenzo,Crime
Vincenzo,Drama
Kingdom Season 2,Thriller
Kingdom Season 2,Historical
Kingdom Season 2,Horror
Kingdom Season 2,Supernatural
Mouse,Thriller
Mouse,Mystery
Mouse,Psychological
Mr. Sunshine,Military
Mr. Sunshine,Historical
Mr. Sunshine,Romance
Mr. Sunshine,Melodrama
Tomorrow,Action
Tomorrow,Thriller
Tomorrow,Drama
Tomorrow,Fantasy
Happiness,Action
Happiness,Thriller
Happiness,Drama
Happiness,Sci-Fi
Death's Game,Thriller
Death's Game,Drama
Death's Game,Fantasy
Taxi Driver,Action
Taxi Driver,Thriller
Taxi Driver,Crime
Taxi Driver,Drama
Tale of the Nine-Tailed 1938,Historical
Tale of the Nine-Tailed 1938,Horror
Tale of the Nine-Tailed 1938,Romance
Tale of the Nine-Tailed 1938,Fantasy
Missing: The Other Side Season 2,Thriller
Missing: The Other Side Season 2,Mystery
Missing: The Other Side Season 2,Supernatural
The Uncanny Counter,Action
The Uncanny Counter,Mystery
The Uncanny Counter,Drama
The Uncanny Counter,Supernatural
Twenty-Five Twenty-One,Romance
Twenty-Five Twenty-One,Life
Twenty-Five Twenty-One,Drama
Twenty-Five Twenty-One,Melodrama
Goblin,Comedy
Goblin,Romance
Goblin,Fantasy
Goblin,Melodrama
Kingdom,Thriller
Kingdom,Historical
Kingdom,Horror
Kingdom,Political
D.P.,Action
D.P.,Military
D.P.,Drama
Stranger,Thriller
Stranger,Mystery
Stranger,Law
Stranger,Drama
The Red Sleeve,Historical
The Red Sleeve,Romance
The Red Sleeve,Drama
The Red Sleeve,Melodrama
Daily Dose of Sunshine,Life
Daily Dose of Sunshine,Drama
Daily Dose of Sunshine,Medical
Weightlifting Fairy Kim Bok Joo,Comedy
Weightlifting Fairy Kim Bok Joo,Romance
Weightlifting Fairy Kim Bok Joo,Life
Weightlifting Fairy Kim Bok Joo,Sports
Partners for Justice Season 2,Mystery
Partners for Justice Season 2,Law
Partners for Justice Season 2,Drama
Partners for Justice Season 2,Medical
Dr. Romantic Season 2,Romance
Dr. Romantic Season 2,Drama
Dr. Romantic Season 2,Medical
Dr. Romantic Season 2,Melodrama
SKY Castle,Mystery
SKY Castle,Psychological
SKY Castle,Drama
Youth of May,Romance
Youth of May,Youth
Youth of May,Drama
Youth of May,Melodrama
Beyond Evil,Thriller
Beyond Evil,Mystery
Beyond Evil,Psychological
Beyond Evil,Drama
Through the Darkness,Thriller
Through the Darkness,Mystery
Through the Darkness,Drama
The Devil Judge,Mystery
The Devil Judge,Law
The Devil Judge,Crime
The Devil Judge,Drama
Moon Lovers: Scarlet Heart Ryeo,Historical
Moon Lovers: Scarlet Heart Ryeo,Romance
Moon Lovers: Scarlet Heart Ryeo,Fantasy
Moon Lovers: Scarlet Heart Ryeo,Melodrama
Racket Boys,Comedy
Racket Boys,Life
Racket Boys,Drama
Racket Boys,Sports
Arthdal Chronicles Part 3: The Prelude to All Legends,Historical
Arthdal Chronicles Part 3: The Prelude to All Legends,Romance
Arthdal Chronicles Part 3: The Prelude to All Legends,Fantasy
Arthdal Chronicles Part 3: The Prelude to All Legends,Political
Life on Mars,Action
Life on Mars,Mystery
Life on Mars,Psychological
Life on Mars,Comedy
Dear My Friends,Life
Dear My Friends,Drama
Dear My Friends,Melodrama
The First Responders,Action
The First Responders,Thriller
The First Responders,Mystery
The First Responders,Drama
Six Flying Dragons,Action
Six Flying Dragons,Historical
Six Flying Dragons,Drama
Six Flying Dragons,Political
Sweet Home,Action
Sweet Home,Horror
Sweet Home,Drama
Sweet Home,Sci-Fi
D.P. Season 2,Action
D.P. Season 2,Military
D.P. Season 2,Drama
Hometown Cha-Cha-Cha,Comedy
Hometown Cha-Cha-Cha,Romance
Hometown Cha-Cha-Cha,Life
Hometown Cha-Cha-Cha,Drama
"Arthdal Chronicles Part 2: The Sky Turning Inside Out, Rising Land",Historical
"Arthdal Chronicles Part 2: The Sky Turning Inside Out, Rising Land",Romance
"Arthdal Chronicles Part 2: The Sky Turning Inside Out, Rising Land",Fantasy
"Arthdal Chronicles Part 2: The Sky Turning Inside Out, Rising Land",Political
The Guest,Thriller
The Guest,Mystery
The Guest,Horror
The Guest,Supernatural
Strong Woman Do Bong Soon,Action
Strong Woman Do Bong Soon,Comedy
Strong Woman Do Bong Soon,Romance
Strong Woman Do Bong Soon,Supernatural
The Penthouse: War in Life,Thriller
The Penthouse: War in Life,Mystery
The Penthouse: War in Life,Drama
While You Were Sleeping,Mystery
While You Were Sleeping,Romance
While You Were Sleeping,Drama
While You Were Sleeping,Supernatural
The Penthouse Season 2: War in Life,Thriller
The Penthouse Season 2: War in Life,Mystery
The Penthouse Season 2: War in Life,Drama
Dr. Romantic,Romance
Dr. Romantic,Drama
Dr. Romantic,Medical
Defendant,Thriller
Defendant,Mystery
Defendant,Law
Defendant,Drama
"Kill Me, Heal Me",Psychological
"Kill Me, Heal Me",Comedy
"Kill Me, Heal Me",Romance
"Kill Me, Heal Me",Drama
My Name,Action
My Name,Thriller
My Name,Mystery
My Name,Crime
Bloodhounds,Action
Bloodhounds,Thriller
Bloodhounds,Crime
Bloodhounds,Drama
Business Proposal,Comedy
Business Proposal,Romance
Business Proposal,Drama
The Kidnapping Day,Thriller
The Kidnapping Day,Mystery
The Kidnapping Day,Comedy
The Kidnapping Day,Drama
The King of Pigs,Thriller
The King of Pigs,Mystery
The King of Pigs,Drama
The Worst of Evil,Action
The Worst of Evil,Thriller
The Worst of Evil,Mystery
The Worst of Evil,Crime
Missing: The Other Side,Thriller
Missing: The Other Side,Mystery
Missing: The Other Side,Supernatural
Strangers from Hell,Thriller
Strangers from Hell,Horror
Strangers from Hell,Psychological
Strangers from Hell,Drama
Chicago Typewriter,Comedy
Chicago Typewriter,Romance
Chicago Typewriter,Supernatural
Chicago Typewriter,Political
Revenant,Thriller
Revenant,Mystery
Revenant,Horror
Revenant,Supernatural
Our Beloved Summer,Romance
Our Beloved Summer,Life
Our Beloved Summer,Youth
Our Beloved Summer,Drama
18 Again,Romance
18 Again,Life
18 Again,Drama
18 Again,Fantasy
Our Blues,Romance
Our Blues,Life
Our Blues,Drama
Our Blues,Melodrama
Hot Stove League,Life
Hot Stove League,Drama
Hot Stove League,Sports
My Perfect Stranger,Mystery
My Perfect Stranger,Romance
My Perfect Stranger,Drama
My Perfect Stranger,Sci-Fi
The Fiery Priest,Action
The Fiery Priest,Mystery
The Fiery Priest,Comedy
The Fiery Priest,Crime
Descendants of the Sun,Action
Descendants of the Sun,Comedy
Descendants of the Sun,Romance
Descendants of the Sun,Melodrama
Tunnel,Thriller
Tunnel,Mystery
Tunnel,Sci-Fi
Tunnel,Fantasy
