title,genres,where_to_watch
Twinkling Watermelon,"Romance, Youth, Drama, Fantasy",Viki
Move to Heaven,"Life, Drama",Netflix
Hospital Playlist Season 2,"Romance, Life, Drama, Medical",Netflix
Weak Hero Class 1,"Action, Youth, Drama",Viki
Alchemy of Souls,"Action, Historical, Romance, Fantasy",Netflix
Flower of Evil,"Thriller, Romance, Crime, Melodrama",Apple TV
Reply 1988,"Comedy, Romance, Life, Youth",Apple TV
Moving,"Action, Thriller, Mystery, Supernatural",Apple TV
Hospital Playlist,"Comedy, Life, Drama, Medical",Netflix
My Mister,"Psychological, Life, Drama",Apple TV
Under the Queen's Umbrella,"Historical, Comedy, Drama, Political",Netflix
Crash Landing on You,"Military, Comedy, Romance, Political",Netflix
The Glory Part 2,"Thriller, Drama, Melodrama",Netflix
Mr. Queen,"Historical, Comedy, Romance, Fantasy",Viki
My Dearest,"Historical, Romance, Drama, Melodrama",Apple TV
Prison Playbook,"Comedy, Crime, Life, Drama",Disney+ Hotstar
Mother,"Thriller, Mystery, Psychological, Melodrama",Viki
My Dearest Part 2,"Historical, Romance, Drama, Melodrama",Viki
Dr. Romantic Season 3,"Romance, Drama, Medical",Disney+
Alchemy of Souls Season 2: Light and Shadow,"Action, Historical, Romance, Fantasy",Netflix
Taxi Driver Season 2,"Action, Thriller, Mystery, Crime",Apple TV
The Glory,"Thriller, Drama, Melodrama",Netflix
Navillera,"Life, Drama",Netflix
The Good Bad Mother,"Comedy, Life, Drama, Family",Netflix
It's Okay to Not Be Okay,"Psychological, Comedy, Romance, Drama",Netflix
Signal,"Thriller, Mystery, Sci-Fi",Disney+ Hotstar
Extraordinary Attorney Woo,"Law, Romance, Life, Drama",Netflix
Vincenzo,"Comedy, Law, Crime, Drama",Netflix
Kingdom Season 2,"Thriller, Historical, Horror, Supernatural",Netflix
Mouse,"Thriller, Mystery, Psychological",Apple TV
Mr. Sunshine,"Military, Historical, Romance, Melodrama",Netflix
Tomorrow,"Action, Thriller, Drama, Fantasy",Netflix
Happiness,"Action, Thriller, Drama, Sci-Fi",Apple TV
Death's Game,"Thriller, Drama, Fantasy",TVING
Taxi Driver,"Action, Thriller, Crime, Drama",Apple TV
Tale of the Nine-Tailed 1938,"Historical, Horror, Romance, Fantasy",Prime Video
