title,genres,where_to_watch
Mad Dog,"Action, Thriller, Mystery","Apple TV, Netflix, Viki, Kocowa"
The Good Detective,"Action, Thriller, Mystery, Drama","Netflix, VIU Indonesia, Viki, Tubi"
Crash Course in Romance,"Thriller, Mystery, Comedy, Romance",Netflix
Amanza,"Adventure, Life, Fantasy, Melodrama","Kakao TV, Viki, Kocowa"
The Uncanny Counter Season 2: Counter Punch,"Action, Mystery, Comedy, Supernatural","TVING, Netflix"
Extraordinary You,"Comedy, Romance, Youth, Fantasy","WeTV, Viki, iQIYI, Kocowa"
The Legend of the Blue Sea,"Comedy, Romance, Drama, Fantasy","Apple TV, Netflix, WeTV, Viki, iQIYI, Hulu, VIU Indonesia, SBS VOD"
I'm Not a Robot,"Comedy, Romance, Drama, Sci-Fi","Apple TV, Netflix, WeTV, Viki, HBO Max, Kocowa"
The World of the Married,"Thriller, Romance, Drama, Melodrama","Disney+ Hotstar, Netflix, WeTV, iQIYI, iflix, VIU Indonesia, Prime Video"
Sell Your Haunted House,"Thriller, Mystery, Comedy, Fantasy","Netflix, Viki, Prime Video, VIU Indonesia, Kocowa"
Lie After Lie,"Thriller, Romance, Melodrama","Apple TV, Viki, VIU Indonesia"
Doctor Prisoner,"Thriller, Law, Crime, Medical","Apple TV, Netflix, Viki, Kocowa"
Be Melodramatic,"Comedy, Romance, Life, Melodrama","Apple TV, Disney+ Hotstar, Netflix, WeTV, Viki, Kocowa"
Soundtrack #1,"Music, Romance","Apple TV, Disney+, Disney+ Hotstar"
Team Bulldog: Off-Duty Investigation,"Action, Mystery, Comedy, Drama","Viki, iQIYI"
Voice Season 4: Judgment Hour,"Action, Thriller, Mystery, Supernatural","Apple TV, WeTV, Viki, iQIYI, Prime Video, VIU Indonesia"
Extracurricular,"Psychological, Crime, Youth, Drama",Netflix
The Mysterious Class,"Mystery, Horror, Youth, Supernatural",
Come and Hug Me,"Thriller, Mystery, Romance, Melodrama","Netflix, Viki, Prime Video, Kocowa"
Her Private Life,"Business, Comedy, Romance, Drama","Apple TV, Netflix, WeTV, Viki, iQIYI, Prime Video, VIU Indonesia, Tubi"
Twinkling Watermelon,"Romance, Youth, Drama, Fantasy","Viki, VIU Indonesia, TVING"
Move to Heaven,"Life, Drama",Netflix
Hospital Playlist Season 2,"Romance, Life, Drama, Medical","Netflix, TVING"
Weak Hero Class 1,"Action, Youth, Drama","Viki, iQIYI, Wavve, Netflix, Kocowa"
Alchemy of Souls,"Action, Historical, Romance, Fantasy",Netflix
Flower of Evil,"Thriller, Romance, Crime, Melodrama","Apple TV, Netflix, WeTV, Viki, iQIYI, Hulu, Prime Video"
Reply 1988,"Comedy, Romance, Life, Youth","Apple TV, Netflix, WeTV, Viki, iQIYI, VIU Indonesia, Tubi, Prime Video"
Moving,"Action, Thriller, Mystery, Supernatural","Apple TV, Disney+, Disney+ Hotstar, Hulu"
Hospital Playlist,"Comedy, Life, Drama, Medical",Netflix
My Mister,"Psychological, Life, Drama","Apple TV, Disney+ Hotstar, Netflix, WeTV, Viki, iQIYI, Prime Video"
Under the Queen's Umbrella,"Historical, Comedy, Drama, Political",Netflix
Crash Landing on You,"Military, Comedy, Romance, Political","Netflix, TVING"
The Glory Part 2,"Thriller, Drama, Melodrama",Netflix
Mr. Queen,"Historical, Comedy, Romance, Fantasy","Viki, Hulu, Prime Video, VIU Indonesia, Netflix"
My Dearest,"Historical, Romance, Drama, Melodrama","Apple TV, Viki, Wavve, Prime Video, Netflix, Kocowa"
Prison Playbook,"Comedy, Crime, Life, Drama","Disney+ Hotstar, Netflix, iQIYI, VIU Indonesia, Prime Video"
Mother,"Thriller, Mystery, Psychological, Melodrama","Viki, VIU Indonesia"
My Dearest Part 2,"Historical, Romance, Drama, Melodrama","Viki, Wavve, Prime Video, Netflix, Kocowa"
Dr. Romantic Season 3,"Romance, Drama, Medical","Disney+, Disney+ Hotstar, Hulu"
Alchemy of Souls Season 2: Light and Shadow,"Action, Historical, Romance, Fantasy",Netflix
Taxi Driver Season 2,"Action, Thriller, Mystery, Crime","Apple TV, Viki, VIU Indonesia, Wavve, Prime Video, Kocowa"
The Glory,"Thriller, Drama, Melodrama",Netflix
Navillera,"Life, Drama","Netflix, TVING"
The Good Bad Mother,"Comedy, Life, Drama, Family","Netflix, TVING"
It's Okay to Not Be Okay,"Psychological, Comedy, Romance, Drama",Netflix
Signal,"Thriller, Mystery, Sci-Fi","Disney+ Hotstar, Netflix, WeTV, iQIYI, Prime Video, Tubi"
Extraordinary Attorney Woo,"Law, Romance, Life, Drama",Netflix
Vincenzo,"Comedy, Law, Crime, Drama","Netflix, TVING"
Kingdom Season 2,"Thriller, Historical, Horror, Supernatural",Netflix
Mouse,"Thriller, Mystery, Psychological","Apple TV, WeTV, Viki, iQIYI, TVING, VIU Indonesia, Prime Video"
Mr. Sunshine,"Military, Historical, Romance, Melodrama",Netflix
Tomorrow,"Action, Thriller, Drama, Fantasy",Netflix
Happiness,"Action, Thriller, Drama, Sci-Fi","Apple TV, Netflix, WeTV, Viki, iQIYI, TVING, VIU Indonesia"
Death's Game,"Thriller, Drama, Fantasy","TVING, Prime Video"
Taxi Driver,"Action, Thriller, Crime, Drama","Apple TV, Netflix, Viki, Prime Video, VIU Indonesia, SBS World, Kocowa"
Tale of the Nine-Tailed 1938,"Historical, Horror, Romance, Fantasy","Prime Video, TVING"
Missing: The Other Side Season 2,"Thriller, Mystery, Supernatural","VIU Indonesia, Netflix"
The Uncanny Counter,"Action, Mystery, Drama, Supernatural",Netflix
Twenty-Five Twenty-One,"Romance, Life, Drama, Melodrama","Netflix, TVING"
Goblin,"Comedy, Romance, Fantasy, Melodrama","Apple TV, Netflix, Viki, Prime Video, VIU Indonesia"
Kingdom,"Thriller, Historical, Horror, Political",Netflix
D.P.,"Action, Military, Drama",Netflix
Stranger,"Thriller, Mystery, Law, Drama","Disney+ Hotstar, Netflix, iQIYI, VIU Indonesia, Prime Video"
The Red Sleeve,"Historical, Romance, Drama, Melodrama","Apple TV, Viki, VIU Indonesia, Netflix"
Daily Dose of Sunshine,"Life, Drama, Medical",Netflix
